chr	start	end	gene
chr20	49451404	49675092	DPM1
chr1	169718772	169963408	SCYL3
chr1	169531245	169923221	C1orf112
chr1	27838575	28061788	FGR
chr1	196521008	196816634	CFH
chr6	143715948	143932827	FUCA2
chr6	53262139	53581768	GCLC
chr6	40940684	41167715	NFYA
chr1	24583489	24843424	STPG1
chr1	24642284	24899466	NIPAL3
chr6	45997730	46214436	ENPP4
chr3	50092478	50326508	SEMA3F
chr7	117005838	117456025	CFTR
chr7	91775548	92130698	ANKIB1
chr7	91641465	91872266	CYP51A1
chr7	91728283	91975480	KRIT1
chr12	921243	1199219	RAD52
chr11	63937302	64152176	BAD
chr4	17478815	17709595	LAP3
chr4	11294774	11531389	HS3ST1
chr7	150421715	150658592	AOC1
chr7	120865421	121081158	WNT16
chr7	43052198	43705600	HECW1
chr7	1755429	2372878	MAD1L1
chr17	36926112	37178023	LASP1
chr17	46080719	46300436	SNX11
chr7	150397491	150602208	TMEM176A
chr12	8992959	9202551	M6PR
chr2	72256367	72475167	CYP26B1
chr7	8052814	8402317	ICA1
chr16	89971273	90186536	DBNDD1
chr2	202465277	202745912	ALS2
chr2	201947604	202194129	CASP10
chr2	201880827	202141410	CFLAR
chr2	188228957	188530487	TFPI
chr2	37358774	37580546	NDUFAF7
chr3	50026341	50256454	RBM5
chr8	17055539	17371037	MTMR7
chr8	17254597	17528082	SLC7A2
chr7	127128399	127331759	ARF5
chr17	26591378	26828065	SARM1
chr17	26573659	26784545	POLDIP2
chr3	129174018	129425661	PLXND1
chr1	33373585	33646597	AK2
chr4	15679898	15954853	CD38
chr12	2804119	3014576	FKBP4
chr1	23245941	23510182	KDM1A
chr3	49877440	50237478	RBM6
chr17	3663609	3898185	CAMKK1
chr12	21521845	21754603	RECQL
chr7	92761653	93088338	VPS50
chr19	36145469	36348980	HSPB6
chr19	36165434	36379724	ARHGAP33
chr16	23492323	23707677	NDUFAB1
chr7	95112811	95325803	PDK4
chr6	110645890	110897844	SLC22A16
chr3	50278541	50484283	ZMYND10
